DMU,标准化GTFP,效率等级,GTFP排名,百分位排名,传统TFP,简单绿色-GTFP,绿色TFP_对数,综合GTFP,资本效率,劳动效率,能源效率,总投入,总污染
2519_2024,0.7625311039008369,C级,10720,55.51,0.00014627220580211886,2.620725062218945e-06,-4.124865889,-2.062431634,0.7824049349933025,24.827567258214774,0.00014630041889762612,361536342.3,54.81364009000104
2520_2019,0.7809285497903636,B级,6387,33.07,0.00025226709423832773,6.92164181484955e-07,-3.884120295,-1.942059801,0.819897463076865,103.59940820143375,0.0002523453506438672,856254228.3,363.46135279999896
2520_2020,0.7864006114912844,B级,5387,27.89,0.0002468818316999458,1.0203613387698544e-06,-3.812514802,-1.906256891,0.6451741879827766,88.63774865740334,0.00024697702763173946,775502740.7,240.95529760000056
2520_2021,0.8104964067386548,A级,2566,13.29,0.0003011386898359776,1.9626499870937384e-06,-3.497205124,-1.748601581,0.6968247543959062,142.51590332680104,0.0003012695225869652,725502524.8299999,152.43473946000077
2520_2022,0.7747955879094974,B级,7693,39.84,0.00015657506185532509,1.0102594542598428e-06,-3.964374781,-1.982186885,1.0769547996200577,233.0239361655518,0.00015659793435750022,1366219951,153.98500022000167
2520_2023,0.7988300647580372,A级,3652,18.91,0.00020657477579475507,2.045190911110322e-06,-3.649867589,-1.824932772,1.375740233533961,167.6076501206621,0.0002066060534418764,1008527340,100.00513084999909
2520_2024,0.8019734487199023,A级,3316,17.17,0.00022915718395004705,2.358679258915674e-06,-3.608734489,-1.804366065,1.7061151033353237,185.24276108827652,0.00022918825093539325,787347994.9,96.15487292000236
2521_2019,0.7474400153014716,D级,13995,72.47,0.0001789568196124173,1.6874937298146798e-07,-4.322341064,-2.161170448,2.615653815024303,321.4462091987807,0.00017896916389383523,1815980627,1059.4887968000019
2521_2020,0.7433755945042908,D级,14712,76.18,0.0001616704322669234,1.8710407957487102e-07,-4.37552692,-2.187763366,2.3583755351613176,314.0680584357192,0.00016168159902792985,1738666176,863.0668474000029
2521_2021,0.7428935055614979,D级,14799,76.63,0.00012887057770001858,1.8822181769365564e-07,-4.381835399,-2.190917605,3.0902018997368765,120.232429360178,0.00012887609035018438,2872615741,683.6739619999996
2521_2022,0.7255027970051033,E级,17258,89.36,9.067623101418412e-05,1.672019264806201e-07,-4.60940517,-2.304702501,2.8817450111378977,107.46522663679849,9.067916081342793e-05,3439314628,541.3157070999988
2521_2023,0.7629977577760708,C级,10605,54.91,0.00016111655445855415,3.3966598804112104e-07,-4.11875711,-2.059378385,2.807584882915922,135.63629811040624,0.0001611259922574444,2272158623,473.3382030000008
2521_2024,0.7590648681262879,C级,11559,59.85,0.00015077492486035256,3.3771822639923337e-07,-4.170221767,-2.085110715,2.15725141332233,128.54129036418325,0.00015078564045879314,2247289075,445.4518436000022
2522_2019,0.7490847147495164,D级,13664,70.75,0.00013922078649071125,6.609829878529731e-07,-4.300819496,-2.150409418,0.8619102355005153,56.34603089099697,0.00013924362198125152,894845356.4,209.6268828299984
2522_2020,0.7594169659871776,C级,11477,59.43,0.0001491640644973845,8.132205722340985e-07,-4.165614791,-2.082806989,1.0701263370875038,71.89970778769481,0.00014918516880165785,971747527.7,182.4238697799991
2522_2021,0.7646859396307966,C级,10182,52.72,0.00012797053566345346,1.0131653300857783e-06,-4.096666723,-2.048332855,1.4203768410832929,142.08625110758365,0.00012798218163750938,1403424784,125.30765362000155
2522_2022,0.7623416414876192,C级,10760,55.72,0.00012410105133226233,9.082517069624433e-07,-4.127343425,-2.063671258,1.3594104023097957,142.5320212556624,0.00012411248966824476,1518337920,135.63728930999872
2522_2023,0.7732833582568531,C级,8041,41.64,0.00012824795557019958,1.5274145546262852e-06,-3.9841639,-1.992081186,1.164037451153955,161.9825970009219,0.00012826218842125557,1347666169,82.96407843999836
2522_2024,0.772543715639129,C级,8234,42.64,0.00013222381338334025,1.4350452945239166e-06,-3.993842555,-1.99692056,1.172684406815736,169.4894138751074,0.00013223882688577902,1293373820,91.13912186999954
2523_2019,0.731598199008429,E级,16515,85.52,0.00015109976930920661,2.5814411782451623e-07,-4.529642589,-2.264821165,3.163552864818397,127.03496599998786,0.00015110716632480643,882772455,584.3310562000011
2523_2020,0.7222482726682241,E级,17629,91.29,0.00013286397926928688,1.8104937793681252e-07,-4.651992949,-2.325996384,3.7179529905704713,137.00093649633786,0.0001328688562992198,1130125917,732.8549332000007
2523_2021,0.7392748125061012,D级,15410,79.79,0.00014863066645649868,2.7729564549604595e-07,-4.429188661,-2.214594192,4.510012933854811,124.32914155570255,0.00014863574254079886,1193681555,535.0007224999988
2523_2022,0.7346320842019883,E级,16117,83.46,0.00012894684415025955,3.0609503855795693e-07,-4.489942092,-2.244970893,4.0879097781794265,109.85745124652979,0.00012895106307202607,1230229097,420.2640774999986
2523_2023,0.7571700334535787,D级,11994,62.11,0.00015636356531039468,5.78977335333604e-07,-4.195017267,-2.097508344,4.719174768898198,109.7108075316386,0.00015636896925011153,1108589943,269.06854263000037
2523_2024,0.7495631177630655,D级,13560,70.22,0.00014358782917412834,4.3517114852857586e-07,-4.294559027,-2.147279296,5.078456899068614,114.60030772558011,0.0001435920689961451,1291358042,328.95714340999837
2526_2019,0.7383795141850992,E级,15562,80.58,0.00015110354985138345,2.1253173736744193e-07,-4.440904212,-2.220452,5.881610307575991,131.6640428053124,0.00015110760535158842,1441212513,709.9693433000022
2526_2020,0.7404030017239622,D级,15215,78.79,0.00015295745143078387,2.3796455822588554e-07,-4.414425462,-2.207212612,4.85835908153025,120.12552499999306,0.00015296246197168603,1366513442,641.7740855999987
2526_2021,0.7436593812970247,D级,14656,75.89,0.00013077927116790305,3.090906890413428e-07,-4.37181349,-2.18590659,5.304758145111528,429.6313650375131,0.000130782535186135,1747707295,422.1097076999995
2526_2022,0.7522629983028839,D级,12993,67.28,0.00014957229842595598,3.5744727381753277e-07,-4.25922909,-2.129614366,5.786032237242378,480.03960818353755,0.00014957621166346066,1607917016,417.44576609999893
2526_2023,0.757407927107871,D级,11934,61.8,0.00014517696732321267,4.1503859909323947e-07,-4.191904096,-2.09595184,4.445639911033552,549.403769653655,0.00014518174674673512,1858127056,348.7914833999994
2526_2024,0.7660702025552674,C级,9869,51.1,0.00017194066596597663,5.477871286910813e-07,-4.078552192,-2.039275822,3.4802770165940835,356.8144358320303,0.00017194924385718698,1384170681,312.8822671000024
2527_2019,0.81863666187517,A级,1977,10.24,0.0001902367749457057,3.192670331612386e-06,-3.390685325,-1.695341066,6.652474290147143,509.95228037510736,0.00019024228615859,1857668847,58.58547393999953
