DMU,投入_资本,投入_劳动,投入_能源,产出_营收,非期望_SO2,非期望_NOx
301220_2022,8089.38,706,577491421.9,70539.60072,42.84469061,91.35153114
301220_2023,99100.66,628,494531574.1,63017.79172,17.42799668,36.03147623
301220_2024,105396.92,776,583650638.8,79668.22919,25.35985574,57.21732231
301222_2021,156316.26,910,434858500.6,54689.26914,12.54633734,25.61122195
301222_2022,27493.22,948,449236092.4,58026.89462,13.37181658,28.39818888
301222_2023,34008.19,925,423759667.9,58811.74943,7.464108219,20.76657669
301222_2024,9718.24,2074,542884891.8,70204.25691,10.51966284,26.89437168
301223_2022,19654.8,2086,1483457742,247335.219,46.1961,112.2971097
301223_2023,23605.85,2521,1682416695,259251.5631,40.0828187,111.6380049
301223_2024,23503.16,400,1955849173,278187.7723,37.45345916,90.78564293
301225_2023,47080.6,439,454905769,78542.65651,9.968261337,27.73360962
301225_2024,44900,520,522408472,86510.98572,12.96312278,33.14127528
301226_2021,45725.9,619,325794795.7,73485.747,42.43298681,65.81684837
301226_2022,19163.78,658,272567117.8,64268.06292,39.03545305,83.22964535
301226_2023,29246.12,222,217830706.8,58177.19949,16.08929815,33.26378667
301226_2024,38075.72,255,216342306.2,50933.87359,16.21318435,36.58045235
301227_2022,50872.69,275,535532720.8,88698.69169,400.4693801,711.038741
301227_2023,33531.03,274,436406352.4,93964.70637,359.643308,657.3790709
301227_2024,45120.23,304,409513760.5,56654.39955,171.0760378,345.3493323
301229_2021,6711.02,258,362586286.5,54872.12788,31.68489638,49.14572782
301229_2022,7454.22,1010,440115671,69219.5839,42.04293228,89.64205794
301229_2023,15946.12,1188,379451696,90306.42818,24.97485373,51.63421046
301229_2024,16936.47,1323,529390002.1,97539.8816,31.04872986,70.05265336
301232_2023,30466.13,1400,832141719.8,164352.4896,91.09850508,164.0145683
301232_2024,30050.66,1522,770370802.4,179487.0475,94.50872106,223.9169951
301233_2022,23791.71,215,30135400.66,30502.51777,74.45261263,149.4310792
301233_2023,22101.04,348,25799503.32,34001.06955,16.99334406,35.70020853
301233_2024,36528.56,383,38566975.19,40444.62401,59.58271351,76.56492142
301234_2022,76601.02,1417,405921615.2,54711.42503,52.70078311,106.289466
301234_2023,87566.52,2200,405333560.8,53367.9925,26.02561296,55.3265564
301234_2024,92679.14,3121,336643378.5,47742.87348,32.39618275,65.285247
301237_2021,147848.62,4832,159831791.1,63962.37652,14.67369314,29.95385836
301237_2022,66602.36,4101,199063382.3,50352.51663,11.60331983,24.64237122
301237_2023,152678.34,386,243330376.6,42150.23936,5.349508408,14.88335556
301237_2024,165391.29,389,322085491.1,50309.28558,7.538527512,19.2728573
301238_2022,34050.77,454,4076931007,613495.5777,372.6279699,794.5006748
301238_2023,80233.24,437,3488094283,371833.0054,102.8329335,212.6017388
301238_2024,18642.15,1902,1832035049,210195.4594,66.90906251,150.9613238
301246_2022,22341.72,3517,772122688,206372.3486,217.49153,449.0140105
301246_2023,20709.43,5197,1039473339,205488.1991,143.8280993,291.4753592
301246_2024,19506.81,4865,924940600.8,177072.3712,123.1443089,260.5528957
301251_2023,17253.46,4350,359672181.7,82269.04862,46.60784734,86.60210325
301251_2024,9548.18,1160,500663841.3,102164.2095,76.93166249,136.5189348
301252_2023,15591.24,1328,512322496.9,98006.55344,12.43852679,34.6063606
301252_2024,23987.9,1542,642807231.2,113353.3267,16.98527741,43.42423997
301255_2022,24559.82,1420,164359547,46751.51186,10.77349814,22.88005024
301255_2023,40897.68,1316,184764155.6,46796.07129,5.939135355,16.52381051
301255_2024,41273.55,992,117579932,42801.38725,6.413516544,16.39667547
301256_2021,38382.3,1353,498585015.1,64438.45425,98.8553183,133.6030225
301256_2022,35909.9,1868,918643162.1,113500.8258,74.45261263,149.4310792
301256_2023,55708.7,2333,729844364.1,105932.4446,52.94381916,111.2262176
301256_2024,72622.67,2277,939000673.3,120645.6032,177.7341881,228.3918161
301258_2021,105886.5,204,233309581.8,52169.5666,30.12435229,46.72520311
301258_2022,35413.59,232,275900607.8,56821.3344,34.51242235,73.58584179
301258_2023,69716.89,278,274831372.4,48929.2587,13.53171755,27.97612188
301258_2024,33596.04,768,241717750.6,42946.80118,13.67075299,30.84417704
301260_2022,35760.42,898,4916762580,521110.6394,316.5147505,674.8585804
301260_2023,33828.98,1117,3121077414,461688.4525,127.6830654,263.9780933
301260_2024,16516.91,1824,3568274782,542554.2792,172.704959,389.65976
301261_2023,21398.45,2078,530408883.7,88327.0114,137.0583303,264.9772238
301261_2024,31966.33,647,616035548.6,103261.0977,164.714298,352.8088145
301265_2022,71086.04,848,494210322.2,75221.54152,0.38983518,3.72362488
301265_2023,132566.53,860,550591827.4,73002.84284,0.305845753,3.737902101
301265_2024,145998.87,923,538166806.4,64116.813,0.297554637,3.130965538
301266_2022,191727.41,924,1425773272,201083.3802,122.1350153,260.4108115
301266_2023,15974.77,633,2325491408,276217.5401,76.38982961,157.9319976
301266_2024,21774.56,683,2191244128,327565.9503,104.2702383,235.2562213
301268_2021,8799.69,768,1184727358,183774.4544,48.58814529,96.417445
301268_2022,12427.28,926,2081528860,321895.2046,60.12206074,146.1494293
301268_2023,31981.53,947,2558969317,406952.4829,62.9188206,175.2404605
301268_2024,5603.61,1507,960448039.8,255888.7641,34.45126037,83.50843667
301272_2023,4371.75,1544,219804106.2,55498.52893,15.34849368,31.73221199
301272_2024,10065.01,2195,247867760.4,59673.32932,18.99511309,42.85708559
301273_2022,9552.19,2699,51902245.21,43863.62367,74.45261263,149.4310792
301273_2023,23458.04,2446,70737649.3,34124.89914,0.760797586,2.520580925
301273_2024,27848.57,529,83586308.59,28227.28708,74.45261263,149.4310792
301275_2024,34946.5,879,3508808130,448629.1714,67.22423729,171.8642176
301276_2022,7199.66,972,594517061.8,114309.1867,0.592406663,5.658545715
301276_2023,8211.22,1984,547269166.8,115175.5115,0.482528347,5.897233171
301276_2024,17878.37,2134,561500431.3,109916.5342,0.510102935,5.367467042
301277_2022,17719.69,2540,158916744.3,62736.40475,68.801778,133.048634
301277_2023,46503.26,3101,156010549.6,65143.67587,56.80652548,81.08385816
301277_2024,77259.95,423,120304891.4,72643.70059,71.41119716,131.6678744
301278_2022,73108.45,492,565246348.8,109963.532,66.79019246,142.4070581
301278_2023,16901.46,4100,603511079.2,128499.111,35.53729859,73.47151554
301278_2024,18408.25,4196,505602222.8,90338.94244,28.75653911,64.880975
301279_2021,22114.17,3493,295488363,63976.91191,14.67702772,29.96066534
301279_2022,28883.86,3469,375018650.1,65355.30431,15.06058781,31.98469069
301279_2023,30204.95,472,400928580.7,65076.01244,8.259138761,22.97850372
301279_2024,29385.03,538,312030732.1,62095.42316,9.304605512,23.78797902
301280_2022,61952.99,860,358301396.6,104365.8461,24.0502436,51.07633329
301280_2023,73360.53,1002,383135998.3,121644.2203,15.43850733,42.95288025
301280_2024,111371.28,756,636588657.2,160290.9463,24.01858216,61.40545428
301281_2022,18993.96,1099,96210316.12,44286.50986,26.58310725,50.28686383
301281_2023,19994.77,584,134481935.3,44758.36203,18.70351899,39.1682729
301281_2024,38305.03,711,122399011.2,46371.68049,20.25508011,40.70780811
301282_2022,39612.49,1462,601703903.8,149649.2771,27.95078274,67.94495891
301282_2023,58195.34,1814,724526055.4,133109.9729,20.58009929,57.3193528
301282_2024,68199.35,1747,744799731.1,160049.3304,21.54803933,52.23156014
301283_2022,85471.99,1663,1165383155,135073.9816,25.22847812,61.32736693
301283_2023,93805.08,1608,1407965163,162766.0331,25.16521528,70.08974215
301283_2024,94726.36,299,1841200978,200641.1685,27.01307016,65.47856986
301285_2022,6990.41,487,313849690.3,59390.68145,36.07300503,76.91324633
301285_2023,6396.85,555,327487966.5,72067.4938,19.93075303,41.20579473
301285_2024,556.58,665,342338608.1,83033.12897,26.43096494,59.63397644
301286_2022,7099.24,672,479523410.6,91839.1579,74.45261263,149.4310792
301286_2023,6761.66,839,476939323.7,102168.1666,51.06247626,107.273827
301286_2024,13120.08,817,468431463,102375.9023,150.8194033,193.8058051
301287_2023,19188.06,1480,318409903.1,60920.74856,16.84804521,34.83245674
301287_2024,18822.3,1669,449812547.7,68680.87362,21.86237933,49.32625869
301288_2022,49029.68,1364,55429309.36,11130.34511,2.078873109,5.0534881
301288_2023,49558.16,1382,56896272.76,14160.85802,2.189406683,6.097899348
301288_2024,243579.1,1165,45625046.45,7317.153028,0.985135651,2.387928256
301290_2022,226432.51,1979,207308092.6,44209.79959,26.85236613,57.25341288
301290_2023,18461.11,3433,163077979.5,43373.49718,11.99523412,24.79952233
301290_2024,18266.32,5228,166802352.8,43546.30804,13.861587,31.27473986
301291_2023,45775.02,2928,2447868403,494804.4424,76.50158989,213.0709652
301291_2024,48366.78,845,3689822512,644407.2813,86.75895993,210.3001467
301292_2023,52923.41,1089,2121273486,336258.3572,140.514851,294.2614185
301292_2024,25334.91,1358,2660087036,361452.2167,157.8817832,317.3041676
301295_2023,28310.81,1497,206693481,53300.52753,6.764650083,18.82055037
301295_2024,44788.64,1729,246762816.1,63306.03817,9.486008496,24.25175047
301296_2022,8313.85,800,1316580832,160796.7046,96.5186929,182.5829585
301296_2023,10832.27,925,1193139477,173738.8779,72.60159344,152.039786
301296_2024,13519.41,902,1061727403,170624.2549,74.52841726,149.7840785
301298_2022,546705.96,853,303280638.3,51701.93222,114.393318,233.8254267
301298_2023,514104.43,894,405843722.2,57021.89809,88.48172282,171.0632343
301298_2024,527447.81,2353,412402211.6,62565.66935,99.8000267,213.7660758
301300_2022,13250,4060,45114366.33,36697.63764,23.63555892,50.38548735
301300_2023,36821.91,7316,64648797.13,39382.81863,18.59412314,49.75130244
301300_2024,42275.33,7827,93201911.29,47134.40959,20.3843637,48.10890471
301301_2022,252792.72,5850,1548144558,382065.7858,119.5203723,258.408717
301301_2023,340052.35,499,1800249469,482333.5007,162.3577358,271.6590962
301301_2024,50987.05,567,1688602393,575830.7743,219.6555192,542.21299
301303_2022,151758.85,755,530887528.2,119107.8202,74.45261263,149.4310792
301303_2023,208016.15,713,663000873,134482.8874,2.998228819,9.93336271
301303_2024,17164.53,419,645108472.7,150121.9448,74.45261263,149.4310792
301307_2023,26605.98,933,1837118962,318914.6631,279.3903172,461.5852354
301307_2024,27340.5,924,2082034774,365898.2204,230.7726756,418.2754745
301308_2022,27833.83,913,7863690559,832993.4278,155.5825646,378.2023229
301308_2023,50397.88,873,11729807437,1012511.19,156.5440994,436.0040413
301308_2024,28772.22,1016,17034096250,1746365.027,235.1196484,569.9203472
301309_2022,28144.7,1445,518915375,77684.06208,17.90164778,38.01834791
301309_2023,27525.03,1327,589643742.8,68919.31858,8.746912942,24.33558478
301309_2024,5415.44,3670,824472149.1,99626.66517,14.9284242,38.16572784
301310_2023,5666.49,4765,1949791651,200104.1176,55.34014765,114.4128755
301310_2024,9123.91,7113,1758431105,264798.7199,84.29027989,190.1771115
301311_2022,8376.31,6554,1754951268,206365.0388,74.45261263,149.4310792
301311_2023,6043.08,6463,1721941991,208588.6025,289.8637145,465.0424038
301311_2024,4180.36,512,1923329878,200171.4548,367.9852021,448.160609
301312_2022,17639.51,511,231713784.7,50819.53588,9.491832059,23.07349119
301312_2023,16201.18,543,263941882,42738.67291,6.607815426,18.40397844
301312_2024,68845.69,546,323259234,55460.53013,7.466858385,18.09935729
301314_2022,2738.32,558,56868869.65,30664.12275,5.727299518,13.92236969
301314_2023,3429.47,597,57066393.77,21849.25942,3.378108481,9.408651973
301314_2024,3674.27,616,58701125.46,16957.9103,2.283106822,5.534156934
301317_2022,5120.77,667,389963826.2,71243.08298,16.41737757,34.86615198
301317_2023,4728.06,667,478713066.2,77834.65653,9.878405339,27.48361305
301317_2024,5459.99,661,657374858.5,92719.54767,13.89343643,35.51969762
301318_2022,26377.02,752,298991910,60457.8417,11.29202914,27.44955171
301318_2023,32772.69,762,291800411.2,48806.10878,7.545900153,21.01671653
301318_2024,54050.46,996,375173943.9,67083.97899,9.031766732,21.89263069
301319_2022,57085.45,884,728640087.9,104472.9711,19.5129664,47.43365197
301319_2023,84581.82,1393,642359823.4,96384.52037,14.90198635,41.50476638
301319_2024,82587.87,1837,823170298,121205.6394,16.31836809,39.55505237
301320_2023,93654.01,1759,518749074.8,71551.95416,29.89996221,62.61548323
301320_2024,158228.93,1753,560805284.3,82816.17189,36.173979,72.70094157
301321_2019,13182.02,619,2020170986,237981.8342,172.5806148,215.4097534
301321_2020,34074.45,641,1824817729,246603.0639,100.3081994,134.6340227
301321_2021,34647.13,635,2181153616,290477.3739,298.2835881,495.817542
301321_2022,17798.21,792,2063508135,220715.1471,212.6038774,428.7896925
301321_2023,17725.25,928,1706445684,216291.3099,105.4773405,224.2290331
301321_2024,13743.15,972,1628696850,234659.6324,159.2295516,320.8816509
301322_2022,49198.75,1031,1143842954,147096.5655,27.47399936,66.78595642
301322_2023,22204.43,498,809367766.1,108138.3782,16.71924734,46.56617167
301322_2024,21949.31,607,440374313.2,83099.82259,11.18803959,27.11934733
301323_2023,24693.47,870,451122496.2,77118.5763,11.92328361,33.20853266
301323_2024,7053.4,1044,542250395.3,88639.26215,11.93383504,28.92712478
301325_2023,11147.27,1417,177038873.1,79503.51008,12.29201762,34.23552454
301325_2024,14432.61,548,1292455272,169896.2514,22.8737671,55.44506967
301326_2022,12211.48,575,729019282.7,103445.2364,19.32101099,46.96703166
301326_2023,14605.42,686,493476660.5,67819.35742,10.48553372,29.20413543
301326_2024,44285.57,700,455001021,79280.52389,10.67383314,25.87293206
301327_2022,12952.69,639,2064792032,320290.6328,59.82236642,145.4209088
301327_2023,13469.72,592,1638783035,231383.2011,35.77409828,99.63742796
301327_2024,44685.75,744,1699293028,360552.6009,48.54254376,117.6651274
301328_2022,47012.18,156,191425613.6,48029.21851,8.970669806,21.80660903
301328_2023,53533.74,200,161339627.1,48663.39598,7.523835364,20.95526205
301328_2024,20431.37,414,159081047,53417.23459,7.191761871,17.43253467
301329_2023,22063.84,1000,493147735.8,77395.75069,21.40431852,44.25231471
301329_2024,20311.58,992,556096917.4,78688.50015,25.04799005,56.51368583
301330_2022,33418.77,370,1122518901,191855.9192,35.83393931,87.10795532
301330_2023,66516.85,368,1044071616,197018.3682,30.46096016,84.83936337
