DMU,标准化GTFP,效率等级,GTFP排名,百分位排名,传统TFP,绿色TFP_简单,绿色TFP_对数,综合GTFP,资本效率,劳动效率,能源效率,总投入,总污染
603087_2020,0.9164710621282056,A级,63,0.33,0.000928800200151972,2.8903685075457874e-05,-2.1104783201321604,-1.0552247082235424,20.60313712476232,190.7991983541323,0.0009288465946174778,361959641.53,31.134317653999897
300204_2022,0.9162687446725377,A级,64,0.33,0.0008236354134485381,0.00020579965266859178,-2.113302683283835,-1.056548441815583,1.3152764205339715,33.51578863247661,0.0008241717692999465,66654324.089999996,3.0021224059986906
688050_2021,0.9162289343915849,A级,65,0.34,0.0008567824815371976,0.0002470476897944788,-2.1138648775414404,-1.0568089149258229,6.260636166109523,24.578362196366392,0.0008569296262270974,50546171.43,2.468085312999571
688468_2023,0.9160848599799912,A级,66,0.34,0.0008441803153422985,0.00024350304307162402,-2.115746649613695,-1.0577515732853118,28.0069187540467,25.274734154368584,0.0008442339596691723,52754228.89,2.466816220000405
603392_2023,0.9160833077981511,A级,67,0.35,0.0007399993870882049,2.3473315186562556e-05,-2.1155469292414906,-1.057761727963152,16.876131207834753,312.7572368331264,0.0007400335876861025,744700956.4,30.525133122999836
688177_2020,0.9151831692698781,A级,68,0.35,0.0025259294171683854,0.0001307486609195673,-2.127433158858788,-1.0636512050989342,0.6292064402964418,10.498859387059568,0.002536723325381295,7323637.04,18.318967050999884
920344_2020,0.9146624846804141,A级,69,0.36,0.0010791989347663795,0.0003993451463246398,-2.134515282556159,-1.067057968704917,1.7348603862367935,10.432881265606667,0.0010799824715683008,17033686.93,1.7024214049976858
688198_2022,0.9142256816803144,A级,70,0.36,0.0008615655379589598,0.0003295830511924487,-2.140161400167298,-1.0699159085580527,15.870373022699784,16.751800209987692,0.0008616566313404813,34259346.12,1.6141074599966103
2370_2020,0.9138792843554572,A级,71,0.37,0.002688372100503076,4.0856764188977895e-05,-2.144405527158959,-1.072182335197385,1.161458348381139,24.612107428297094,0.002694904229929388,19152307.35,64.79992354999771
300485_2022,0.9131642863654931,A级,72,0.37,0.0007558446366563802,0.00015066149097393372,-2.1538715897635603,-1.076860464136293,1.7333882678927548,93.33505115627779,0.0007561804931486718,97182253.73,4.016840228997543
2287_2020,0.9125568244877127,A级,73,0.38,0.0016365450677322307,2.607522446342338e-05,-2.1616960748192735,-1.080834999797405,2.9101937127628936,91.80434104477045,0.0016374951024884059,90203064.56,61.76245299000093
601908_2021,0.9121697958497835,A级,74,0.38,0.0006959451082409251,2.1419885342501218e-05,-2.166755963664546,-1.083367271889602,3.7739471789804315,313.5983897843183,0.000696075014614722,793971185.74,31.490608434000237
300576_2021,0.911833529427611,A级,75,0.39,0.002118936169608607,3.363349492119371e-05,-2.171168462606717,-1.085567414555898,3.5348653228810183,43.41291139778762,0.0021203106565465014,37083405.7,62.000771030002255
688198_2021,0.911708722532064,A级,76,0.39,0.0008534917766417373,0.00035049310568022976,-2.173118508437552,-1.086384007665936,15.019447498224688,14.291575408625752,0.0008535912590322971,29504391.91,1.4351170790012577
2038_2024,0.9106901111403196,A级,77,0.4,0.0007231020309083378,0.00015957361254485488,-2.186256843814211,-1.093048635100833,1.5749708321866367,13.103563577380692,0.0007234741169167205,91331454.77000001,3.5314636390007235
600062_2024,0.9100808318395773,A级,78,0.4,0.0006471813075861909,1.061789386414687e-05,-2.1940807422191995,-1.0970350621626677,1.9256666139775693,1072.8826478467865,0.0006473992771576785,1732377548.39,59.951947296999194
920344_2024,0.9096043604080598,A级,79,0.41,0.0008049325729954824,0.0003393751761580269,-2.2006444665632174,-1.1001525456935297,7.480512361968254,14.55970075482324,0.0008050637089396755,31871231.939999998,1.3718073809997868
688372_2023,0.9095630482891361,A级,80,0.41,0.0008659249918960148,0.00010713886196840959,-2.2009528287515687,-1.1004228449448001,2.1036582580297565,41.80050144154131,0.000866299531150626,85056424.32000001,7.082267869997932
688356_2021,0.9094891944988016,A级,81,0.42,0.0007766986016037171,0.00025877467902050066,-2.2020708948533536,-1.1009060600871665,16.493783062420857,19.931360788875143,0.0007767654493038096,45215811.69,2.0014473879981027
688468_2024,0.9094208850386728,A级,82,0.42,0.0007393321274666091,0.0002218235790058642,-2.2029278210020906,-1.1013529987115425,1.3366282640244291,24.761053762768185,0.0007397634027735623,59011336.19,2.3329735199990544
688085_2021,0.9093105085884089,A级,83,0.43,0.0009023144444182826,0.00012449902517973487,-2.204274851633129,-1.1020751763039747,0.5401986873928787,33.67533008512864,0.0009038483950088454,65759704.919999994,6.247562214999313
300653_2020,0.9089720996740444,A级,84,0.43,0.0035879533064994418,3.9406517957472385e-05,-2.208618079559203,-1.1042893365206228,0.6096110979467295,18.848430764780275,0.0036098869842282255,8174063.53,90.04973120000022
601089_2022,0.9087082398004941,A级,85,0.44,0.0006474050331620329,3.4586025098797834e-05,-2.2120660523441886,-1.1060157331595448,0.8331446332766375,183.8910593075948,0.0006479107810361662,500484287.12,17.71868854599827
600276_2021,0.9072355395795998,A级,86,0.45,0.0025239658284279477,6.612308794702252e-07,-2.23130345917289,-1.1156513989710053,288.5454772069824,1470.2341872870884,0.002523992239263008,1026381818.97,3816.0719250000025
300357_2019,0.9072345052276468,A级,87,0.45,0.0026821493642993108,2.4701832211017834e-05,-2.2313410339018636,-1.1156581660348264,0.7192823901196559,31.87202661016788,0.002692415754795507,23837332.19,107.58098414999886
601089_2024,0.9070339384939401,A级,88,0.46,0.0006209163943040723,3.196498244357915e-05,-2.2339728556937586,-1.1169704453556575,0.5332181455413485,195.5529220204202,0.0006216422517223114,554928572.93,18.42489392200134
300558_2019,0.906937856929184,A级,89,0.46,0.0026612010277772317,1.0139000190056511e-05,-2.2352083265494116,-1.1175990937746108,11.103202329642485,153.5498275691548,0.0026618851585680533,58391840.33,261.4717360999992
601089_2023,0.9066171525734321,A级,90,0.47,0.0006254206274053068,3.207483222188138e-05,-2.239426905293153,-1.1196974152304655,0.5071351592814686,189.53668291712899,0.0006261949438948526,533982444.23999995,18.49879649900111
600276_2023,0.9057871908251681,A级,91,0.47,0.001939364278900356,1.0012950561269098e-06,-2.250256471470908,-1.1251277350879259,54.78390101545617,1295.106965947713,0.0019394358396488897,1176663146.18,1935.855940099998
603392_2021,0.905271210739588,A级,92,0.48,0.0006114288195923698,1.8104968924032284e-05,-2.2570255412037845,-1.1285037181174302,11.650764266658754,326.35238791144565,0.000611462054536808,940473999.7099999,32.771326618000394
2755_2024,0.9043384332134674,A级,93,0.48,0.0006024378999935798,5.734451051724689e-05,-2.2692708399713246,-1.1346067477304036,4.021508573103936,31.445991721209417,0.0006025397061974147,295074714.26,9.50558968099912
920139_2021,0.903864788317921,A级,94,0.49,0.0008651059110076051,0.00021656019496844455,-2.2756280354371135,-1.1377057376210724,4.540179258504804,16.142218269011547,0.0008653171671109107,32877579.76,2.9947594470014143
688356_2023,0.90385781538412,A级,95,0.49,0.0007134543025432208,0.0002725092495635963,-2.2757752294004248,-1.1377513600754305,3.4573498189177263,16.578796872870793,0.0007136322773434312,40944234.25,1.618091995999187
301190_2022,0.9034503822169744,A级,96,0.5,0.0029909708664903013,2.891521257089801e-05,-2.2808631899353005,-1.1404171373613647,7.455084569528394,25.440689231256325,0.002992523283456038,13388176.16,102.4393447999999
603105_2021,0.9033227909496315,A级,97,0.5,0.0017259543639486132,5.383935194367342e-05,-2.282557734871342,-1.1412519477596992,1.2704771929403913,25.262826095344753,0.001728420523886867,25790426.74,31.057486480001035
688356_2020,0.9033199069562522,A级,98,0.51,0.00087102546763523,0.00031925477409144084,-2.282860889720517,-1.141270817473213,0.16997667403082217,10.591522457434136,0.0008755843026672203,21425622.169999998,1.7283082279994433
600276_2024,0.9027311822500445,A级,99,0.51,0.0019957607029368754,6.878040186045341e-07,-2.290246206065109,-1.1451227591305453,55.712542994424574,1588.229587968127,0.0019958347066138054,1402202443.35,2900.641525100003
688193_2023,0.9024915013710932,A级,100,0.52,0.0008841713721261406,0.00034257541312844646,-2.293724488487995,-1.1466909565374332,0.25899584708161466,9.331003013620354,0.0008872844986299339,18595068.59,1.5809538299992558
