Stkcd,ShortName,Accper,Typrep,C001014000,Year
000528,柳工,2020-12-31,A,24501360823.46,2020
000528,柳工,2021-12-31,A,29577162767.57,2021
000528,柳工,2022-12-31,A,29362935885.47,2022
000528,柳工,2023-12-31,A,25175689019.87,2023
000528,柳工,2024-12-31,A,21755609052.25,2024
000529,广弘控股,2019-12-31,A,2600817497.73,2019
000529,广弘控股,2020-12-31,A,2527068688.24,2020
000529,广弘控股,2021-12-31,A,3169566934.36,2021
000529,广弘控股,2022-12-31,A,3169725957.29,2022
000529,广弘控股,2023-12-31,A,2954089587.46,2023
000529,广弘控股,2024-12-31,A,2209700606.57,2024
000530,大冷股份,2019-12-31,A,916130720.58,2019
000530,冰山冷热,2020-12-31,A,1121134021.73,2020
000530,冰山冷热,2021-12-31,A,1501614080.55,2021
000530,冰山冷热,2022-12-31,A,1765774138.68,2022
000530,冰山冷热,2023-12-31,A,3076384953.42,2023
000530,冰山冷热,2024-12-31,A,2877529073.45,2024
000533,顺钠股份,2019-12-31,A,574313688.94,2019
000533,顺钠股份,2020-12-31,A,733314841.85,2020
000533,顺钠股份,2021-12-31,A,769537806.8,2021
000533,顺钠股份,2022-12-31,A,937272910.86,2022
000533,顺钠股份,2023-12-31,A,1000404991.22,2023
000533,顺钠股份,2024-12-31,A,1210214104.14,2024
000534,万泽股份,2019-12-31,A,540447869.32,2019
000534,万泽股份,2020-12-31,A,89030612.01,2020
000534,万泽股份,2021-12-31,A,157185567.75,2021
000534,万泽股份,2022-12-31,A,114522943.04,2022
000534,万泽股份,2023-12-31,A,211926251.98,2023
000534,万泽股份,2024-12-31,A,264275620.18,2024
000536,华映科技,2019-12-31,A,1642679019.43,2019
000536,华映科技,2021-12-31,A,1845891494.14,2021
000536,华映科技,2022-12-31,A,2326950694.06,2022
000536,华映科技,2023-12-31,A,1733238542.14,2023
000536,华映科技,2024-12-31,A,1166549753.34,2024
000538,云南白药,2019-12-31,A,24786261505.04,2019
000538,云南白药,2020-12-31,A,25517309494.17,2020
000538,云南白药,2021-12-31,A,27139418190.72,2021
000538,云南白药,2022-12-31,A,28680616058.63,2022
000538,云南白药,2023-12-31,A,29797492545.65,2023
000538,云南白药,2024-12-31,A,31321052292.37,2024
000541,佛山照明,2019-12-31,A,2167028031.7,2019
000541,佛山照明,2020-12-31,A,2077887848.58,2020
000541,佛山照明,2021-12-31,A,3427906318.91,2021
000541,佛山照明,2022-12-31,A,5492158956.7,2022
000541,佛山照明,2023-12-31,A,5219988965.35,2023
000541,佛山照明,2024-12-31,A,6057433876.86,2024
000545,金浦钛业,2019-12-31,A,621678232.01,2019
000545,金浦钛业,2020-12-31,A,636461139.03,2020
000545,金浦钛业,2021-12-31,A,953978524.15,2021
000545,金浦钛业,2022-12-31,A,1360346354.64,2022
000545,金浦钛业,2023-12-31,A,1148721950.84,2023
000545,金浦钛业,2024-12-31,A,888670077.17,2024
000547,航天发展,2019-12-31,A,3245028513.72,2019
000547,航天发展,2020-12-31,A,2979325801.41,2020
000547,航天发展,2021-12-31,A,2900736699.87,2021
000547,航天发展,2022-12-31,A,3030429632.63,2022
000547,航天发展,2023-12-31,A,2208580577.57,2023
000547,航天发展,2024-12-31,A,1686425837.85,2024
000550,江铃汽车,2019-12-31,A,22813410129.0,2019
000550,江铃汽车,2020-12-31,A,25087676080.0,2020
000550,江铃汽车,2021-12-31,A,30184229122.0,2021
000550,江铃汽车,2022-12-31,A,26012469683.0,2022
000550,江铃汽车,2023-12-31,A,26547151493.0,2023
000550,江铃汽车,2024-12-31,A,32088398075.0,2024
000553,安道麦A,2019-12-31,A,17877786000.0,2019
000553,安道麦A,2020-12-31,A,18671558000.0,2020
000553,安道麦A,2021-12-31,A,20020798000.0,2021
000553,安道麦A,2022-12-31,A,27540166000.0,2022
